,SEQN,RIDAGEYR,DMDEDUC2,DMDHHSIZ,INDFMPIR,gender_1.0,gender_2.0,marital_1.0,marital_2.0,marital_3.0,marital_4.0,marital_5.0,marital_6.0
0,21009.0,55.0,3.0,2.0,3.79,1,0,1,0,0,0,0,0
1,21010.0,52.0,4.0,3.0,1.24,0,1,0,0,0,0,0,1
2,21012.0,63.0,3.0,2.0,0.89,1,0,0,0,0,0,0,1
3,21015.0,83.0,4.0,2.0,1.2,1,0,1,0,0,0,0,0
4,21017.0,37.0,2.0,2.0,0.21,0,1,0,0,0,0,0,1
5,21018.0,33.0,3.0,6.0,2.06,0,1,1,0,0,0,0,0
6,21019.0,50.0,1.0,7.0,0.16,0,1,1,0,0,0,0,0
7,21020.0,55.0,2.0,2.0,2.48,0,1,1,0,0,0,0,0
8,21029.0,40.0,5.0,1.0,5.0,1,0,0,0,0,0,1,0
9,21030.0,30.0,2.0,5.0,2.51,0,1,1,0,0,0,0,0
10,21031.0,37.0,5.0,4.0,5.0,0,1,1,0,0,0,0,0
11,21033.0,57.0,3.0,1.0,0.33,0,1,0,0,1,0,0,0
12,21034.0,21.0,2.0,3.0,3.19,1,0,0,0,0,0,1,0
13,21036.0,85.0,2.0,1.0,3.34,0,1,0,1,0,0,0,0
14,21037.0,85.0,1.0,1.0,1.72,1,0,0,1,0,0,0,0
15,21039.0,84.0,3.0,1.0,0.92,0,1,0,1,0,0,0,0
16,21043.0,31.0,3.0,4.0,0.37,1,0,1,0,0,0,0,0
17,21048.0,42.0,3.0,5.0,0.48,0,1,0,0,1,0,0,0
18,21050.0,69.0,3.0,2.0,1.92,1,0,1,0,0,0,0,0
19,21051.0,55.0,3.0,2.0,5.0,1,0,1,0,0,0,0,0
20,21052.0,37.0,3.0,4.0,2.45,0,1,1,0,0,0,0,0
21,21054.0,59.0,4.0,2.0,4.48,0,1,1,0,0,0,0,0
22,21055.0,73.0,1.0,1.0,1.47,0,1,0,0,0,0,1,0
23,21058.0,78.0,1.0,2.0,1.82,1,0,0,1,0,0,0,0
24,21059.0,51.0,5.0,3.0,5.0,0,1,1,0,0,0,0,0
25,21061.0,71.0,2.0,2.0,1.76,1,0,1,0,0,0,0,0
26,21063.0,69.0,1.0,4.0,1.17,1,0,1,0,0,0,0,0
